"원시순위","코드","종목","시장","유니버스","가격","DART","실적지표수","공시일","컴플라이언스","랭킹상태","랭킹","점수","주요 사유"
"53","000150","두산","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","32","0.6908457037662399","가격·DART·컴플라이언스 조건 모두 통과"
"54","003550","LG","KOSPI","통과","가용","결측","0","2026-05-15","통과","미랭킹","","","기준일까지 매출·EPS가 함께 있는 DART 분기 공시 없음"
"55","086520","에코프로","KOSDAQ","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","55","0.6348744782139675","가격·DART·컴플라이언스 조건 모두 통과"
"56","042700","한미반도체","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","138","0.4140215632475025","가격·DART·컴플라이언스 조건 모두 통과"
"57","259960","크래프톤","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","149","0.37348614628769755","가격·DART·컴플라이언스 조건 모두 통과"
"58","017670","SK텔레콤","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","68","0.6063825277895033","가격·DART·컴플라이언스 조건 모두 통과"
"59","047810","한국항공우주","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","103","0.5070121007457437","가격·DART·컴플라이언스 조건 모두 통과"
"60","298380","에이비엘바이오","KOSDAQ","통과","가용","불충분","1","2026-05-08","통과","미랭킹","","","YoY·QoQ 비교 가능 실적 지표가 3개 미만"
"61","323410","카카오뱅크","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","116","0.4593207108015572","가격·DART·컴플라이언스 조건 모두 통과"
"62","272210","한화시스템","KOSPI","통과","가용","가용","4","2023-11-14","통과","랭킹 가능","118","0.456594349467661","가격·DART·컴플라이언스 조건 모두 통과"
"63","326030","SK바이오팜","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","135","0.42372396932601664","가격·DART·컴플라이언스 조건 모두 통과"
"64","010950","S-Oil","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","14","0.7689242706721073","가격·DART·컴플라이언스 조건 모두 통과"
"65","005830","DB손해보험","KOSPI","통과","가용","결측","0","2026-05-15","통과","미랭킹","","","기준일까지 매출·EPS가 함께 있는 DART 분기 공시 없음"
"66","003230","삼양식품","KOSPI","통과","가용","가용","4","2026-05-13","통과","랭킹 가능","108","0.4858275291965668","가격·DART·컴플라이언스 조건 모두 통과"
"67","079550","LIG넥스원","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","46","0.6470179341963322","가격·DART·컴플라이언스 조건 모두 통과"
"68","277810","레인보우로보틱스","KOSDAQ","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","143","0.39876269288494914","가격·DART·컴플라이언스 조건 모두 통과"
